lang,week,fear_mean,anger_mean,sadness_mean,disgust_mean,joy_mean,trust_mean,anticipation_mean,surprise_mean,danger_mean,weapon_mean,family_mean,flying_mean,animal_mean,health_mean,swimming_mean,place_house_mean,place_nature_mean,indoors_mean,outdoors_mean,romantic_mean,social_mean,friend_mean,stranger_mean,situation_childhood_mean,game_mean,music_mean,food_mean,object_inanimate_mean,object_animate_mean,negativity_mean,nightmare_index_mean,textlen_mean,words_mean,n_dreams,n_userdays
all,2025-07-21,0.3749592669793295,0.2841159458051067,0.3152116553760639,0.1762208615598402,0.1433253430606218,0.405536824735105,0.3640679173180476,0.7174372937293728,0.7381262810491575,0.244569046378322,0.5642713218690291,0.1450781657113079,0.2359768108389786,0.3420198888309884,0.0890469862775751,0.4550953621677957,0.3689365989230501,0.3858124891436512,0.5444913149209659,0.3474722077470905,0.6754995657460483,0.5089084592669794,0.4587461351398297,0.3711673614729894,0.1945848532221643,0.1573771061316658,0.0913905680041688,0.1627211221122111,0.4670330901511203,0.0131958485322216,0.3327737247408951,540.4752475247525,102.1914191419142,303.0,243.0
all,2025-07-28,0.395946311209849,0.2673697121170045,0.3331755068036656,0.1706652781634731,0.1187011015458668,0.3776176062204942,0.3296385263352773,0.7204086827733037,0.747002591872628,0.2309525131907803,0.5685274460797926,0.1266092752013329,0.2257139683421271,0.30790946959178,0.0780429510321207,0.4371242247523836,0.3484282143848931,0.3616731463482365,0.53164222901046,0.3414078496713876,0.6498118115338332,0.4954639452004072,0.4640822919559381,0.346908173655466,0.1590483199111357,0.1357596038137554,0.0738271776358419,0.1492027214662594,0.4491258909562158,0.0436298481903175,0.3733403684161807,489.16606498194943,93.70758122743682,277.0,236.0
all,2025-08-04,0.3795996116225547,0.2703538550057537,0.3117792721518987,0.1847912830840046,0.1212761075949367,0.3742359033371691,0.3403932681242808,0.7185829257767549,0.7511665707710011,0.2329561996547755,0.5326711018411968,0.1367215189873417,0.2166687284234752,0.3207433112773302,0.0738537830840046,0.437723245109321,0.3456877876869965,0.3668299769850403,0.5135936421173762,0.3327466915995397,0.6330394850402762,0.467210658803222,0.4642579833141542,0.3560438003452243,0.1874812284234752,0.1608916139240506,0.0658917577675489,0.1485573216340621,0.4482574798619103,0.038875,0.3595723772535482,515.0411392405064,98.03481012658229,316.0,255.0
all,2025-08-11,0.3941138776541961,0.3025711577350859,0.3303880182002022,0.1942628286147624,0.1285278690596562,0.3973892189079878,0.3648099721941355,0.712667277553084,0.747985970677452,0.2473168604651162,0.5673585692618807,0.1497568250758341,0.2336037664307381,0.3503288675429727,0.0836031976744186,0.458696789686552,0.3670540318503539,0.3810778564206269,0.5342336324570274,0.3380587082912032,0.668290824064712,0.5072942366026288,0.4765521359959555,0.3796984959555106,0.1829740899898888,0.1459347826086956,0.0836329625884732,0.1674285262891809,0.465521043983822,0.0423754265672396,0.3623014197842938,594.6104651162791,113.49418604651164,344.0,279.0
all,2025-08-18,0.3781486068111455,0.2925170278637771,0.3105603715170278,0.180938080495356,0.1264767801857585,0.3800835913312694,0.3522755417956656,0.7098792569659442,0.7527244582043343,0.2400557275541795,0.5755696594427244,0.1466501547987616,0.2292445820433436,0.3309009287925696,0.0855758513931888,0.4476222910216718,0.358343653250774,0.3638452012383901,0.527312693498452,0.3352074303405573,0.6559318885448916,0.4910650154798762,0.4616749226006193,0.3774705882352941,0.183609907120743,0.1374860681114551,0.0865696594427244,0.1569907120743034,0.4574613003095975,0.0372608359133126,0.354001031991744,537.5232198142415,103.41486068111456,323.0,285.0
all,2025-08-25,0.4010863095238096,0.3006071428571428,0.3302172619047618,0.192547619047619,0.1308035714285714,0.388779761904762,0.3592738095238095,0.7186636904761905,0.757029761904762,0.2521130952380951,0.5917827380952382,0.1491071428571428,0.2477023809523809,0.3343630952380952,0.0862083333333333,0.4463214285714286,0.3625357142857143,0.3711696428571428,0.5393303571428572,0.3447380952380952,0.6615505952380951,0.4837738095238096,0.4508898809523809,0.3807827380952381,0.1806755952380952,0.1365119047619047,0.0784583333333333,0.1605327380952381,0.4633363095238095,0.0463229166666666,0.3653075396825397,541.5386904761905,103.0,336.0,279.0
all,2025-09-01,0.374201449338335,0.2697216035622362,0.3227117926655867,0.2003607433634171,0.1272241488505845,0.3684940623593232,0.3298985087466352,0.7054107138912259,0.7244130948404719,0.2303203543041614,0.5541298052143467,0.1424069615816932,0.2351689759434063,0.3285306072324713,0.0721296850140382,0.4202383204903634,0.3274576165314632,0.3511324143627664,0.4830226174670535,0.3207269205825033,0.6367807652587166,0.4459666780341983,0.4596309513746155,0.3613749250979151,0.1725723973217101,0.1362256625610419,0.0982169338475495,0.1560047535301159,0.4563322970006834,0.0438897916274399,0.3465512967642133,586.7286135693215,112.54572271386432,339.0,281.0
all,2025-09-08,0.3889518509357738,0.2975087806084591,0.328267623052189,0.1955793552642427,0.137944842938412,0.391431857531536,0.349665759749361,0.7203456179404731,0.7441444471926787,0.2576450655453871,0.5888752576469619,0.1619409679281062,0.2516959353615302,0.3355769643004369,0.0793781020694203,0.4579529227471349,0.3584327644488416,0.3777148157308929,0.5333428971885562,0.3451545057300684,0.6537600791491468,0.4822979635584137,0.4634941874845412,0.3718773188226564,0.1781935856212383,0.1317244620331437,0.0925174375463764,0.1648326325335971,0.4708607469700717,0.0378885522301921,0.3491764641218017,550.604501607717,106.13183279742763,311.0,259.0
all,2025-09-15,0.3930462633451957,0.282017793594306,0.3229964412811388,0.1942704626334519,0.1412277580071174,0.3966476868327402,0.3550498220640569,0.7249715302491103,0.7346192170818506,0.24988256227758,0.5780960854092526,0.1528754448398576,0.2294946619217081,0.3404555160142349,0.0850889679715302,0.4380889679715303,0.345491103202847,0.3734733096085409,0.5214982206405694,0.3359750889679716,0.6657829181494661,0.4770604982206405,0.4785978647686833,0.3830106761565835,0.1851850533807829,0.1566512455516014,0.0881779359430605,0.1682989323843416,0.4631814946619217,0.0291450177935943,0.3423262158956109,587.9288256227758,112.91814946619218,281.0,225.0
all,2025-09-22,0.3589621993127148,0.2575189003436426,0.2975154639175257,0.1849484536082474,0.1394054982817869,0.3809243986254295,0.3484158075601375,0.7019690721649485,0.7221030927835052,0.2336219931271478,0.5484742268041237,0.1431890034364261,0.2174226804123711,0.3310756013745704,0.0788556701030927,0.4327903780068728,0.3427938144329897,0.3489965635738832,0.4953986254295532,0.345254295532646,0.6392611683848798,0.480381443298969,0.4914261168384879,0.3673092783505154,0.1945154639175257,0.1528625429553264,0.1096975945017182,0.156701030927835,0.4565979381443299,0.0145713058419243,0.3201214203894616,598.106529209622,114.40893470790378,291.0,242.0
all,2025-09-29,0.3851315789473684,0.2743223684210526,0.3039309210526316,0.1780131578947368,0.1170657894736842,0.3801019736842105,0.351203947368421,0.7205065789473684,0.7550427631578948,0.224328947368421,0.5549144736842107,0.1313585526315789,0.2417927631578947,0.3226282894736842,0.0802434210526315,0.4472434210526315,0.3579243421052631,0.355016447368421,0.5425032894736843,0.3311480263157895,0.6767861842105263,0.4811743421052631,0.4852730263157895,0.362907894736842,0.1731874999999999,0.1268552631578947,0.0916809210526315,0.1603453947368421,0.4590657894736842,0.036765625,0.3643026315789473,498.8453947368421,95.4375,304.0,259.0
all,2025-10-06,0.3718205027322404,0.2797329836065573,0.3066543387978142,0.187943431693989,0.1257182076502732,0.373328349726776,0.3405983387978142,0.7139102950819672,0.7180300765027323,0.2311114316939891,0.5380520655737705,0.1315248524590164,0.2399208306010929,0.3323250710382514,0.0715512568306011,0.4344053770491803,0.3499494644808743,0.3668180109289617,0.4975730710382514,0.3244192786885246,0.6506701202185793,0.4614992786885246,0.4876834972677596,0.3621210491803279,0.1826288087431694,0.1229442185792349,0.0877234535519125,0.1597390163934426,0.4628439344262295,0.0370145355191256,0.3397834316939891,525.5893333333333,101.21866666666666,375.0,299.0
all,2025-10-13,0.3714072653744248,0.2676931041695718,0.3149537372751359,0.1847618532980058,0.1156750801840747,0.3612999233021894,0.3217540092037373,0.7238317528935991,0.7435679821503276,0.2240246130246827,0.5527090015339562,0.1292405173615953,0.2041383000976154,0.3055126900013945,0.0684311462836424,0.4295178496722912,0.325817319760145,0.3469441151861666,0.4998782945195927,0.3198575512480825,0.6396605076000559,0.4572436201366615,0.4930810556407753,0.3541755682610514,0.1628629200948263,0.1150885511086319,0.0862529633245014,0.1464881815646353,0.4533692999581649,0.0462164882861525,0.3609679147492214,473.8292079207921,91.39108910891088,404.0,318.0
all,2025-10-20,0.3415158513541885,0.2546423322635794,0.2811533547284124,0.1696590384211631,0.1266656069104106,0.3500197654539456,0.3297598152424942,0.7100119972406347,0.725606730451996,0.2173834618037851,0.5040123571578536,0.141164992051828,0.2095664797096668,0.2945871149635583,0.0787052577907081,0.4179744158843465,0.3437966767643442,0.3330841606430521,0.5166997990462194,0.3414691820881197,0.6261482858942443,0.4520241144536757,0.4806776341441468,0.3463403317237035,0.1692648090939084,0.123953270747728,0.0815177409195885,0.1429904322005938,0.4455369065115024,0.0233999580096577,0.3227597052677884,491.65819861431874,93.30484988452656,433.0,345.0
all,2025-10-27,0.3618293333333333,0.2710906666666666,0.3080346666666667,0.165368,0.1301466666666666,0.3851626666666667,0.3584799999999999,0.7137733333333334,0.723576,0.2277039999999999,0.557448,0.1395386666666666,0.2307893333333333,0.3210613333333333,0.0753546666666666,0.458672,0.3604773333333333,0.3717253333333333,0.5303413333333333,0.357104,0.6698213333333333,0.4962426666666666,0.476368,0.3740559999999999,0.1785253333333333,0.1270613333333333,0.0689146666666666,0.1537626666666666,0.4639786666666667,0.018926,0.3343333333333334,488.368,92.95466666666668,375.0,305.0
all,2025-11-03,0.3540197740112993,0.2741864406779661,0.3112542372881355,0.1781468926553672,0.1164689265536723,0.3665734463276835,0.3430875706214688,0.7036412429378531,0.7190254237288135,0.2150988700564972,0.5259039548022598,0.1343870056497175,0.2151525423728813,0.314909604519774,0.0752655367231638,0.4306920903954802,0.3345423728813559,0.352409604519774,0.4874293785310735,0.3409774011299435,0.6435734463276837,0.469225988700565,0.4886892655367231,0.354228813559322,0.1723926553672316,0.1309463276836158,0.1045423728813559,0.1527570621468926,0.4452796610169491,0.0378806497175141,0.3449642184557439,522.4745762711865,99.54802259887006,354.0,300.0
all,2025-11-10,0.3719330024813896,0.2705732009925558,0.2969354838709678,0.1781761786600496,0.1177171215880893,0.3600843672456575,0.3301637717121588,0.7162853598014889,0.7268734491315136,0.2236501240694788,0.5256674937965261,0.1357766749379652,0.2103176178660049,0.3017568238213399,0.070394540942928,0.4234838709677419,0.3389081885856079,0.3291960297766748,0.509590570719603,0.3468362282878412,0.6212928039702234,0.441833746898263,0.4882233250620347,0.3604218362282878,0.1648957816377171,0.1230545905707196,0.0991240694789081,0.14824317617866,0.4511042183622829,0.0405037220843672,0.3475301902398676,505.7741935483871,97.06451612903226,403.0,313.0
all,2025-11-17,0.379318766066838,0.2781413881748072,0.3144421593830334,0.1839897172236504,0.1228071979434447,0.3581439588688945,0.3347763496143959,0.7078766066838046,0.743910025706941,0.2303419023136247,0.5365706940874035,0.1584961439588689,0.2155938303341902,0.3078508997429305,0.0714678663239074,0.4334987146529563,0.3331542416452442,0.3564190231362467,0.4878303341902313,0.3233727506426735,0.629236503856041,0.4441131105398457,0.4859100257069408,0.367293059125964,0.176611825192802,0.1366735218508997,0.0877506426735218,0.1543856041131105,0.4509434447300772,0.0484974293059125,0.3564164524421593,532.3213367609254,102.39074550128537,389.0,308.0
all,2025-11-24,0.3721901875901876,0.2898318614718615,0.3201550937950938,0.1934802308802308,0.1240869264069264,0.3735583261183261,0.3508204906204906,0.7096543722943724,0.7312889466089467,0.2354555844155844,0.5421438961038961,0.1360111976911976,0.2383822222222222,0.3196207792207792,0.0786075036075036,0.4402288600288601,0.3467384126984127,0.3834189898989898,0.49751215007215,0.3454576623376623,0.6436584704184704,0.4775650793650793,0.4624060606060606,0.3517081673881674,0.1860881962481962,0.1346319769119769,0.0823774891774891,0.1595099567099567,0.457207215007215,0.0450917171717171,0.3504578162578162,576.612987012987,109.35324675324676,385.0,316.0
all,2025-12-01,0.3758070372398686,0.2806803669222343,0.3132261500547644,0.1893404983570646,0.1207972891566265,0.373954408543264,0.3403621029572836,0.7240791894852135,0.7526099671412922,0.2413194687842278,0.5557521631982476,0.1347057228915662,0.2217986035049288,0.3177078587075576,0.0727141292442497,0.4323187294633077,0.3376101040525739,0.3559611445783132,0.5287790525739321,0.3165964676889375,0.6583374589266154,0.4665206188389922,0.4687411829134721,0.3542395125958379,0.1786566265060241,0.1320338170865279,0.1105800930996714,0.1519757667031763,0.4577585432639649,0.0423876642935377,0.359750428988682,533.4506024096386,103.2289156626506,415.0,316.0
all,2025-12-08,0.3435254298280688,0.2517878048780487,0.2845169532187125,0.1691394642143142,0.1255433826469412,0.3666208316673331,0.3266043582566973,0.7239119152339063,0.715344582167133,0.2154539384246301,0.5362689724110355,0.1288204318272691,0.216867413034786,0.302897281087565,0.0661579768092762,0.4287082367053179,0.3249866453418633,0.3513692522990803,0.4906591363454619,0.3386342662934826,0.633473530587765,0.4667636545381847,0.4638251899240304,0.3316689724110355,0.1600381447421031,0.1165140743702519,0.0834921231507397,0.1438980407836865,0.4516928428628548,0.0161603058776489,0.3222522724243635,498.07073170731707,95.92926829268292,410.0,334.0
all,2025-12-15,0.3322156334231805,0.2461024258760107,0.2865795148247978,0.1761671159029649,0.1040862533692722,0.3319541778975741,0.3042479784366577,0.7030161725067384,0.7250269541778976,0.2119757412398921,0.5128760107816711,0.1163584905660377,0.1964339622641509,0.2745741239892183,0.0602425876010781,0.4057169811320755,0.3072021563342318,0.3263746630727763,0.4779595687331536,0.3109460916442048,0.62677897574124,0.4414582210242588,0.4757762803234501,0.3253638814016172,0.1612560646900269,0.1123369272237196,0.0974123989218328,0.1391159029649595,0.4333126684636118,0.0422459568733153,0.343854447439353,445.2156334231806,86.4743935309973,371.0,297.0
all,2025-12-22,0.3876620225927918,0.2804484669176977,0.3286626681011296,0.1933275416890801,0.1185902635825712,0.3803397525551371,0.3317918773534158,0.7332461000537923,0.7370953200645508,0.2324470683162991,0.5539097902097901,0.1356066164604626,0.1989097364174286,0.3082038192576654,0.065498009682625,0.4301653577192038,0.312131199569661,0.3529677245831092,0.4796138784292629,0.3261962883270575,0.6488951048951049,0.4768821947283485,0.486257719203873,0.3627555137170521,0.1692203335126411,0.1266864981172673,0.0830430338891877,0.1491526627218935,0.4495651425497579,0.0480601667563206,0.3658830733369195,593.9349112426036,114.76627218934912,338.0,296.0
all,2025-12-29,0.3904646153846154,0.2848601207977208,0.3381449618233618,0.2008032547008547,0.1200299487179487,0.3824994051282051,0.3361716376068376,0.7169966951566952,0.7585361686609687,0.2475508284900285,0.5860672045584046,0.1531118723646723,0.213369682051282,0.3329050347578348,0.0839712227920227,0.4449676125356125,0.3421373447293447,0.3599723259259259,0.5162459623931624,0.3260713891737891,0.6484455886039886,0.4657887316239316,0.4781735612535612,0.3705699282051282,0.183613625071225,0.1295526472934473,0.1121454222222222,0.1589496250712251,0.4607961709401709,0.0523035612535612,0.3756852999050332,598.6426666666666,115.68266666666666,375.0,312.0
all,2026-01-05,0.3988419174382716,0.2938686021090535,0.3327545010288066,0.1993986947016461,0.1246998456790123,0.3847493569958847,0.350132137345679,0.7286376350308642,0.7424785558127572,0.2427780028292181,0.5795511509773662,0.1442964248971193,0.2203723315329217,0.3320402199074074,0.0824376929012345,0.4532089763374485,0.3477427019032922,0.358613940329218,0.5068523984053498,0.3349422582304527,0.6633639081790123,0.4777019997427983,0.5060470036008231,0.3842576838991769,0.1800538194444444,0.1335792181069958,0.100694765946502,0.164593203446502,0.4708015046296296,0.0514913274819958,0.3666584790809327,600.261574074074,114.46064814814817,432.0,358.0
all,2026-01-12,0.3551750083896639,0.2555432936622081,0.2978521681288652,0.1891243228342681,0.1154627049475046,0.3476821515892421,0.3108338367131693,0.7178073912939259,0.7189358849896926,0.2108301991945922,0.5342617005848793,0.1293752127379069,0.2451861037202166,0.2921239153363056,0.0723458249436694,0.4105738889687905,0.3236493150438659,0.3153983322546622,0.4912662280070952,0.3379425607651373,0.6125716117742941,0.4418389783786375,0.4723229061795867,0.3559020386883359,0.1557703808907426,0.1169555827220863,0.0976114836521405,0.1446053711827029,0.4453825806606261,0.042851269985378,0.3418583155552359,504.80684596577015,98.2713936430318,409.0,336.0
all,2026-01-19,0.384695020746888,0.2707821576763485,0.2909170124481327,0.1794834024896265,0.1275456431535269,0.3624522821576763,0.3294439834024897,0.7108879668049793,0.7389709543568466,0.2388153526970954,0.5442282157676348,0.1432489626556016,0.2565663900414938,0.3065622406639004,0.0728672199170124,0.4314751037344398,0.3364771784232365,0.3398755186721992,0.5119356846473029,0.3245145228215768,0.646085062240664,0.4812614107883817,0.4703630705394191,0.3634253112033195,0.1769937759336099,0.1170290456431535,0.0843879668049792,0.1502863070539419,0.453661825726141,0.0364704356846473,0.3439820193637621,589.5643153526971,113.95228215767636,482.0,382.0
all,2026-01-26,0.3864150206367924,0.2920908257318257,0.3398397331957547,0.2021421987721975,0.117331486427118,0.3756230483201535,0.3398053804511191,0.7315117714981039,0.7322207876664817,0.2276099566742971,0.5774578166909452,0.139793590888596,0.2211955849114409,0.326185376346883,0.0799368084940344,0.4383568871681927,0.3333439212506936,0.3647894331818813,0.4963693631786441,0.3091493761272197,0.6585534475582686,0.4727535471293471,0.4978931308962263,0.3676040720091102,0.1702372501329541,0.122399139844617,0.108045937095357,0.1638022133971513,0.4648302486531169,0.0586446772105068,0.3688270274058916,634.4009433962265,122.96933962264151,424.0,349.0
all,2026-02-02,0.380478149100257,0.2885218508997429,0.3317275064267352,0.1993470437017994,0.1255835475578406,0.3780899742930591,0.3362493573264782,0.7293367609254499,0.7302596401028277,0.2312313624678663,0.585668380462725,0.1395244215938303,0.2253624678663239,0.3085218508997429,0.075159383033419,0.4422082262210797,0.3255269922879177,0.3606632390745501,0.4888868894601542,0.3396323907455013,0.667904884318766,0.4625604113110539,0.4869434447300771,0.3691233933161953,0.1687146529562982,0.1256760925449871,0.106146529562982,0.1600719794344473,0.4581491002570694,0.0481818766066838,0.3552382176520994,584.6375321336761,113.12596401028276,389.0,321.0
all,2026-02-09,0.3667641311722577,0.2806273954014323,0.3018182981530342,0.2005312174896343,0.1269121579344138,0.3638339992461364,0.3240568243497927,0.7076734206558611,0.7370745307199397,0.2330033546928006,0.5476045326045986,0.1459936637768563,0.2436028364116095,0.3239616019600452,0.085305320392009,0.4275508443271768,0.3212636581228797,0.34786516773464,0.476379050131926,0.3173239050131926,0.6289600980022616,0.4487702996607614,0.4636854334715417,0.3592375254428948,0.1788193799472295,0.1274551149641914,0.0986302487749717,0.1564149754994346,0.451227291745194,0.0420621819638145,0.3416401620806634,590.0949868073878,113.20580474934036,379.0,318.0
all,2026-02-16,0.3740921508236873,0.2863072997176496,0.3309802167171168,0.1944772642283587,0.121662798184296,0.3724348021036501,0.3323435358667704,0.7220375511247383,0.7415861254251875,0.2397179374535474,0.5526847040271335,0.1546757657022864,0.2239742197162674,0.3229881500640651,0.0729988227081482,0.4345666931372624,0.3372764439069283,0.3566603079046623,0.4886401269351055,0.3120870530568547,0.6420354828491347,0.4695001757067247,0.4888463094204393,0.3506431292393208,0.1742698448310537,0.1280530818744314,0.1045068478542376,0.1611614045322411,0.4623534264395636,0.04941543272773,0.3605566994710344,577.3269230769231,110.5096153846154,416.0,346.0
all,2026-02-23,0.3540721266284291,0.2496435941043084,0.2817851524560441,0.1761604151537158,0.1134496751787134,0.3348727919562887,0.3122268428358998,0.7110657471630627,0.7304073849292803,0.2078797711677263,0.4951822730326698,0.1328253729887016,0.2038581631417999,0.2848139508889976,0.0665616337893181,0.4038182983069771,0.3059614164184192,0.3184830553208938,0.4673237257866109,0.3171877223728997,0.6048090890677258,0.4319351150336678,0.4863071597774913,0.3351538291859953,0.1696678174973693,0.1086215720856243,0.1080270027764192,0.1459376149225122,0.4425280808619743,0.0412540885181232,0.3419718794925377,542.6137566137567,105.81746031746032,378.0,306.0
all,2026-03-02,0.3578276720695324,0.2572597134132018,0.2718821235611933,0.1857327695560253,0.1177207423067888,0.320102137655626,0.3052293164200141,0.6912898754991779,0.7171102654451491,0.2132004228329809,0.4944954662908151,0.1262509748649283,0.2182931642001409,0.2669048625792812,0.0603057082452431,0.4017651867512332,0.2996041813483673,0.3007764153159502,0.4544832980972516,0.3257948320413436,0.5778783180643646,0.4038315245478036,0.4760232558139535,0.3310069532534648,0.1663084801503406,0.0972281888653981,0.0976332158797275,0.1429149166079398,0.433516513976979,0.0492641296687808,0.3312192780518362,531.3695090439277,103.51679586563309,387.0,318.0
all,2026-03-09,0.3825085983688331,0.2697952164939844,0.2987845315864756,0.184144288001891,0.1061604967058849,0.3354565221022666,0.2999639655097346,0.7172205320412914,0.7519318672242402,0.228857017906527,0.5493574597478922,0.1160646138699322,0.2248425910844746,0.2726229084111579,0.0604129810563207,0.4090309837964696,0.2999761712392329,0.3114299201526609,0.4741704137412729,0.2874893743655844,0.6103605980331518,0.422469037202213,0.4766573428288497,0.3487765580856906,0.1534810119766342,0.1032019932240463,0.0930062687932293,0.145733381000005,0.445365630801985,0.0629996492087202,0.3715811690206314,535.3170731707318,104.46883468834687,369.0,306.0
all,2026-03-16,0.3854510474275179,0.2712989832970224,0.3037816742081448,0.1921777219149768,0.1068317412435059,0.3267812440645774,0.3065737277247081,0.7079456538740854,0.751676987319144,0.2304867186190715,0.5413643371878666,0.1459990307804033,0.2056717529746941,0.2804463521590973,0.0559673007094575,0.4158756354393609,0.3048426372828333,0.3179723674655047,0.4773028098988883,0.2918873638344226,0.6168321266968325,0.4406729540249148,0.4843204038880509,0.3439703312664097,0.1583758309591643,0.0976961901569744,0.0831732556840399,0.1464874308697838,0.4446336098541981,0.0713708640578738,0.373471495074763,528.6564102564103,102.53076923076924,390.0,315.0
all,2026-03-23,0.3872768361581921,0.2553305084745763,0.3090310734463277,0.1919435028248587,0.1182994350282485,0.3349406779661016,0.3100593220338983,0.7043700564971752,0.7199209039548022,0.21654802259887,0.5468163841807909,0.1115169491525423,0.2043841807909604,0.2800593220338983,0.0640677966101695,0.4114830508474575,0.2936610169491525,0.3224802259887005,0.4677118644067798,0.3094124293785311,0.6209463276836159,0.4405028248587571,0.4700790960451977,0.3375112994350282,0.1482231638418079,0.1008559322033898,0.0878757062146892,0.1444265536723163,0.435593220338983,0.0592754237288135,0.353776836158192,561.6073446327683,109.8361581920904,354.0,288.0
all,2026-03-30,0.3593810118649733,0.2620266377005347,0.2898894719251336,0.1854737675467914,0.1223728191844919,0.3435765332553476,0.3129585895721925,0.7107614346590909,0.7245607703877005,0.2226342914438503,0.5364918658088235,0.1380960018382352,0.2161813252005347,0.2810516168114973,0.0689923713235294,0.4047895220588235,0.3032202331216577,0.3118903826871658,0.4952278743315508,0.3293268507687166,0.6255858038101605,0.4599623036430481,0.4825922418114973,0.363725806316845,0.1615459893048128,0.1070557110628342,0.1071290650066845,0.1502485419451871,0.4472219126002673,0.0412180460394385,0.3355709322081105,585.309375,115.228125,320.0,273.0
all,2026-04-06,0.3812153663756925,0.2649493797812897,0.2973476177486271,0.2000293217463248,0.1086504547471162,0.3311977025827957,0.2983678880188973,0.7056230605050481,0.7319853968320583,0.2123400935873761,0.5316184815583107,0.1219998621070049,0.2152022575481426,0.2856570091608911,0.0594961180124223,0.4050301670903379,0.2991095140171226,0.2920026874145663,0.4702742391903884,0.309654041463824,0.5939804236912155,0.4159032710616562,0.4873419101777022,0.3624257116477613,0.1518145279263291,0.0980650330343653,0.0872887779083431,0.1484988369025636,0.4381807702223075,0.0659613427480275,0.3615323389050097,500.7472826086956,99.1358695652174,368.0,299.0
all,2026-04-13,0.3412641944311599,0.2384049165736755,0.2783417224613423,0.1843943753653222,0.1043496532759445,0.3192553934853074,0.2872584621924651,0.7095004649556299,0.7304158031776398,0.2042211860353897,0.5032936659758754,0.1186757465858972,0.2281557269249162,0.2582971597853233,0.056842067856953,0.3906605093256814,0.2932191003772783,0.2961841423561294,0.4624327275625697,0.3154176696423827,0.5982860871991074,0.4150285615601253,0.4881464410967638,0.3261307986609278,0.1553401150433073,0.103758462192465,0.1070861894893458,0.1350403315797864,0.4318379231096232,0.048798778827249,0.3456575867474361,436.5663956639567,85.60162601626017,369.0,310.0
all,2026-04-20,0.3476118269530034,0.2497734204793028,0.2886062869592281,0.1842295051353874,0.1150427637721755,0.3254975412387177,0.3044769374416433,0.7103333333333334,0.7319488328664798,0.2086487394957983,0.5310016184251478,0.1277150326797385,0.2200422657952069,0.2864888266417678,0.0675263616557734,0.4046765017117958,0.3041790849673202,0.323557734204793,0.469178835978836,0.3258117647058823,0.5876938064114534,0.4154088390911921,0.4760927482103952,0.3600527855586679,0.1602842826019296,0.1085026455026454,0.0949785869903517,0.14188023653906,0.4424273264861499,0.0472851073762838,0.3410128851540616,475.31111111111113,93.76190476190476,315.0,253.0
all,2026-04-27,0.3576619203747072,0.254623793911007,0.2783269320843091,0.1815930679156908,0.1275332084309133,0.3429913817330211,0.3106951756440281,0.7134667915690865,0.7219911007025761,0.2237964402810304,0.5348722248243559,0.1320672599531615,0.2101645901639344,0.2927346135831381,0.0644761592505854,0.4186993911007026,0.3166146135831382,0.3381448243559719,0.4909988758782201,0.3426883372365339,0.6103452927400469,0.4311144730679157,0.4729005152224824,0.346344074941452,0.1653378922716627,0.1229910070257611,0.0921979391100702,0.1379008899297424,0.4392555503512881,0.0327891334894613,0.3251267759562841,530.5868852459016,101.78688524590164,305.0,250.0
all,2026-05-04,0.3541434543470567,0.2774823861625575,0.3068984236758286,0.2041284529707837,0.1200110912862254,0.3360389288663442,0.3158793401753764,0.7183925499390509,0.7214947406708349,0.2098690574495694,0.5719042040226496,0.1250324308914317,0.2038512666627344,0.2743014455782313,0.0539518501042035,0.4217180483465062,0.2896827076206205,0.3355970911485981,0.4227399974440643,0.3215312536864457,0.6098080713499272,0.4079940967716566,0.4932172447013487,0.3743613896425622,0.1590407524281388,0.1036439507884078,0.1025584449097558,0.1474982993197278,0.4449998771184775,0.0576381692127718,0.3408344482783479,532.1763005780347,103.7398843930636,346.0,264.0
all,2026-05-11,0.3226024067956583,0.2285327984898537,0.2757595563945257,0.159667059933931,0.1297224319647632,0.3431002044989775,0.3146854648419065,0.7016061821613969,0.6980857322636463,0.2056250589900896,0.5279522573540978,0.1228053327041057,0.215189948088721,0.2793358502438257,0.0619992134654711,0.4006957684442347,0.3097641182947931,0.3279373131980493,0.4579405379896176,0.3848021079125374,0.6107376907346233,0.4281299355041686,0.4764524146610036,0.3465662262073304,0.1591836558124901,0.1163389177284882,0.1082973100519112,0.1375117193644801,0.4365394840333491,0.0102291371716218,0.3024267998531803,482.67484662576686,92.98159509202452,326.0,258.0
all,2026-05-18,0.3557748783724016,0.2594424296034203,0.2842156862745098,0.1984200943535309,0.1112835765885301,0.3310531475748194,0.286359501695415,0.7111180893409995,0.7358736547250478,0.2247936016511867,0.5318934837092733,0.1261680672268907,0.2084771487542385,0.2818062804068996,0.0581288515406162,0.3993356184579095,0.293187527642636,0.3053159369010761,0.4582768686421937,0.2967240896358544,0.6021513342178977,0.4153782986878962,0.4820650154798762,0.3598292790800531,0.15431291463954,0.0949118384195783,0.0893939259914492,0.1376303258145363,0.4324514963880289,0.0532949100692908,0.3473378298687897,500.6811145510836,98.20433436532508,323.0,269.0
